# time [s]     intensity
523.808308    -0.681932
523.812668    -0.103662
523.817029    1.037661
523.821390    0.388334
523.825751    1.276747
523.830111    0.189132
523.834472    1.986525
523.838833    0.034800
523.843194    -0.161291
523.847554    -0.188083
523.851915    -0.146244
523.856276    -0.073121
523.860637    1.028083
523.864997    -0.116252
523.869358    -0.477387
523.873719    -1.172825
523.878080    0.175293
523.882440    0.506665
523.886801    -1.156270
523.891162    2.044257
523.895522    0.564376
523.899883    0.759975
523.904244    0.787880
523.908605    -0.862932
523.912965    0.689774
523.917326    -0.108897
523.921687    -0.181084
523.926048    1.138515
523.930408    1.014513
523.934769    -0.955211
523.939130    1.416058
523.943491    -0.451076
523.947851    -0.622316
523.952212    2.607033
523.956573    -0.866891
523.960934    -0.789159
523.965294    -1.767043
523.969655    0.247869
523.974016    -0.283724
523.978377    0.823357
523.982737    0.723174
523.987098    -0.016053
523.991459    -0.854509
523.995820    -0.286982
524.000180    0.734317
524.004541    -0.556771
524.008902    -1.109914
524.013263    -1.423256
524.017623    0.711575
524.021984    0.295175
524.026345    -1.451567
524.030706    -0.338164
524.035066    -0.579895
524.039427    -0.740802
524.043788    -0.017039
524.048149    -1.375467
524.052509    -0.974524
524.056870    0.468935
524.061231    0.343073
524.065592    0.774921
524.069952    0.616344
524.074313    0.794157
524.078674    -1.408450
524.083035    1.192939
524.087395    0.256774
524.091756    -1.385765
524.096117    0.092450
524.100477    0.465618
524.104838    -1.093667
524.109199    2.023090
524.113560    -0.505292
524.117920    -1.210272
524.122281    1.166169
524.126642    0.466441
524.131003    -1.062254
524.135363    0.034526
524.139724    -0.566435
524.144085    -0.042493
524.148446    1.207017
524.152806    0.255982
524.157167    -0.391773
524.161528    -0.703998
524.165889    -0.416006
524.170249    -0.530503
524.174610    0.050825
524.178971    -0.312460
524.183332    -0.505611
524.187692    0.926370
524.192053    -0.109945
524.196414    -1.122555
524.200775    1.269884
524.205135    -1.587531
524.209496    -1.191363
524.213857    -0.800370
524.218218    0.048839
524.222578    -0.405533
524.226939    -0.322319
524.231300    0.930234
524.235661    -0.065340
524.240021    -1.522182
524.244382    0.177867
524.248743    -1.676979
524.253104    -0.325798
524.257464    0.041942
524.261825    0.066171
524.266186    -1.545144
524.270547    0.350260
524.274907    0.048348
524.279268    0.670121
524.283629    -0.060771
524.287990    -0.300827
524.292350    0.542713
524.296711    -0.980329
